index,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,experience_level
0,Data Scientist,137-171,"Description

The Senior Data Scientist is responsible for defining, building, and improving statistical models to improve business processes and outcomes in one or more healthcare domains such as Clinical, Enrollment, Claims, and Finance. As part of the broader analytics team, Data Scientist will gather and analyze data to solve and address complex business problems and evaluate scenarios to make predictions on future outcomes and work with the business to communicate and support decision-making. This position requires strong analytical skills and experience in analytic methods including multivariate regressions, hierarchical linear models, regression trees, clustering methods and other complex statistical techniques.

Duties & Responsibilities:

• Develops advanced statistical models to predict, quantify or forecast various operational and performance metrics in multiple healthcare domains
• Investigates, recommends, and initiates acquisition of new data resources from internal and external sources
• Works with multiple teams to support data collection, integration, and retention requirements based on business needs
• Identifies critical and emerging technologies that will support and extend quantitative analytic capabilities
• Collaborates with business subject matter experts to select relevant sources of information
• Develops expertise with multiple machine learning algorithms and data science techniques, such as exploratory data analysis and predictive modeling, graph theory, recommender systems, text analytics and validation
• Develops expertise with Healthfirst datasets, data repositories, and data movement processes
• Assists on projects/requests and may lead specific tasks within the project scope
• Prepares and manipulates data for use in development of statistical models
• Other duties as assigned

Minimum Qualifications:

-Bachelor's Degree

Preferred Qualifications:

- Master’s degree in Computer Science or Statistics
Familiarity with major cloud platforms such as AWS and Azure
Healthcare Industry Experience

Minimum Qualifications:

-Bachelor's Degree

Preferred Qualifications:

- Master’s degree in Computer Science or Statistics
Familiarity with major cloud platforms such as AWS and Azure
Healthcare Industry Experience

WE ARE AN EQUAL OPPORTUNITY EMPLOYER. Applicants and employees are considered for positions and are evaluated without regard to mental or physical disability, race, color, religion, gender, national origin, age, genetic information, military or veteran status, sexual orientation, marital status or any other protected Federal, State/Province or Local status unrelated to the performance of the work involved.

If you have a disability under the Americans with Disability Act or a similar law, and want a reasonable accommodation to assist with your job search or application for employment, please contact us by sending an email to careers@Healthfirst.org or calling 212-519-1798 . In your email please include a description of the accommodation you are requesting and a description of the position for which you are applying. Only reasonable accommodation requests related to applying for a position within Healthfirst Management Services will be reviewed at the e-mail address and phone number supplied. Thank you for considering a career with Healthfirst Management Services.
EEO Law Poster and Supplement

]]>",3.1,Healthfirst,"New York, NY","New York, NY",1001 to 5000 employees,1993.0,Other,Insurance Carriers,Insurance,Unknown / Non-Applicable,"EmblemHealth, UnitedHealth Group, Aetna",2
1,Data Scientist,137-171,"Secure our Nation, Ignite your Future

Join the top Information Technology and Analytic professionals in the industry to make invaluable contributions to our national security on a daily basis. In this innovative, self-contained, Big Data environment, the ManTech team is responsible for everything from infrastructure, to application development, to data science, to advanced analytics and beyond. The team is diverse, the questions are thought-provoking, and the opportunities for growth and advancement are numerous

The successful candidate will possess a diverse range of data-focused skills and experience, both technical and analytical. They will have a strong desire and capability for problem solving, data analysis and troubleshooting, analytical thinking, and experimentation.

Duties, Tasks & Responsibilities
Working with large, complex, and disparate data sets
Designing and implementing innovative ways to analyze and exploit the Sponsors data holdings
Researching and reporting on a wide variety of Sponsor inquiries
Raising proactive inquiries to the Sponsor based on observations and proposed data analysis/exploitation
Solving difficult, non-routine problems by applying advanced analytical methodologies, and improving analytic methodologies
Developing custom searches
Communicating and coordinating with internal and external partners as needed
Required Experience, Skills, & Technologies

Thorough knowledge of appropriate analytic tools and methodologies in one or more of the following:
Applied mathematics (e.g. probability and statistics, formal modeling, computational social sciences)
Computer programming (e.g. programming languages, math/statistics packages, computer science, machine learning, scientific computing)
Ability to code or script in one or more general programming language
Experience with and theoretical understanding of algorithms for classification, regression, clustering, and anomaly detection
Knowledge of relational databases, including SQL and large-scale distributed systems (e.g. Hadoop)
Expertise with statistical data analysis (e.g. linear models, multivariate analysis, stochastic models, sampling methods)
Demonstrated effectiveness in collecting information and accurately representing/visualizing it to non-technical third parties
TS/SCI with Polygraph
Bachelor of Science or equivalent and 12-15 years related experience, but will consider all levels of experience.
Desired Experience, Skills & Technologies
Previous investigative experience using a combination of technical and analytic skills
#LI-DU1

ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",4.2,ManTech,"Chantilly, VA","Herndon, VA",5001 to 10000 employees,1968.0,Company - Public,Research & Development,Business Services,$1 to $2 billion (USD),,3
2,Data Scientist,137-171,"Overview


Analysis Group is one of the largest international economics consulting firms, with more than 1,000 professionals across 14 offices in North America, Europe, and Asia. Since 1981, we have provided expertise in economics, finance, health care analytics, and strategy to top law firms, Fortune Global 500 companies, and government agencies worldwide. Our internal experts, together with our network of affiliated experts from academia, industry, and government, offer our clients exceptional breadth and depth of expertise.

We are currently seeking a Data Scientist to join our team. The ideal candidate should be passionate about working on cutting edge research and analytical services for Fortune 500 companies, global pharma/biotech firms and leaders in industries such as finance, energy and life sciences. The Data Scientist will be a contributing member to client engagements and have the opportunity to work with our network of world-class experts and thought leaders.

Job Functions and Responsibilities

The candidate Data Scientist will help develop, maintain and teach new tools and methodologies related to data science and high performance computing. This position will also help Analysis Group in maintaining our leadership position in terms of advancing methodology and data analytics. The Data Scientist will be responsible for staying abreast of new developments in technology relating to data science, to share more broadly with Analysis Group.

Key responsibilities for this position will include:
Working with project teams to address data science/computing challenges
Identifying opportunities for technology to enhance service offerings
Acting as a resource and participating in client engagements and research as part of the project team
Maintaining up-to-date knowledge of computing tools, providing technical training and helping to grow the in-house knowledge base, specifically in a Linux environment
Presenting research at selected conferences
Examples of activities for the Data Scientist will include:
Developing data engineering and machine learning production systems for full stack data science projects
Using natural language processing methodologies to work with EMR data, social media data and other unstructured data
Optimizing procedures for managing and accessing large databases (e.g., insurance claims, electronic health records, financial transactions)
Creating interactive analytics portals and data visualizations (e.g., using R/Shiny, Python/Flask, D3)
Building and maintaining high performance computing (HPC) tools on grid and cloud computing environments
Developing and reviewing software and packages in R, Python and other Object Oriented Languages
Establishing optimized procedures for repetitive or computationally intensive tasks (C, C++, Cuda-C)
Qualifications
Strong credentials and experience in database management and data visualization
Significant experience working within a Linux environment required
Background in Statistics/Econometrics or Biostatistics
Ideally PhD in Computer Science, Mathematics, Statistics, Economics or other relevant scientific degree with relevant experience. Other candidates with at least one year of experience in the field may also be considered
Excellent written and verbal communication skills
Project experience with R and/or Python
Familiar with online/cloud computing/storage (e.g., AWS)
Demonstrated experience working on project teams and collaborating with others
SCIENTIFIQUE DES DONNÉES

*L’utilisation du genre masculin sert uniquement à alléger le texte et est utilisé ici en tant que genre neutre

Survol

Groupe d’analyse ltée est l’une des plus grandes firmes de services-conseils en économie, comptant plus de 950 professionnels répartis dans 14 bureaux en Amérique du Nord, en Europe et en Asie. Depuis 1981, nous offrons notre expertise en matière de stratégie, d’économie, de finance et d’analyse dans le domaine des soins de santé aux grands cabinets d’avocats, aux sociétés Fortune Global 500 et aux agences gouvernementales du monde entier. Nos professionnels en poste conjugués à notre réseau de spécialistes affiliés issus d’universités, d’industries spécifiques et d’organismes gouvernementaux procurent à notre clientèle un savoir-faire d’une portée et d’une profondeur exceptionnelles.

Nous sommes présentement à la recherche d'un Scientifique des données (« Data Scientist ») pour se joindre à notre équipe. Le candidat idéal devrait être passionné par la recherche de pointe et les services analytiques pour les entreprises Fortune 500, les entreprises pharmaceutiques et biotechnologiques mondiales et les chefs de file dans des secteurs de la finance, l'énergie et les sciences de la vie. Le Scientifique des données sera un membre contributeur aux mandats des clients et aura l'occasion de travailler avec notre réseau d'experts et de leaders d'opinion de classe mondiale.

Description du poste et des responsabilités

Le scientifique des données aidera à développer, maintenir et enseigner de nouveaux outils et méthodologies liés à la science des données (« Data Science ») et au HPC. Ce poste aidera également le Groupe d'analyse à maintenir sa position de chef de file en ce qui a trait à l'avancement de la méthodologie et de l'analyse des données. Le scientifique des données sera chargé de se tenir au courant des nouveaux développements technologiques liés à la science des données, afin de les partager plus largement avec le Groupe d'analyse.

Les principales responsabilités de ce poste comprendront:

- Collaborer avec les consultants pour relever les défis de la science des données et de sciences informatiques

- Agir à titre de ressource et participer aux mandats et à la recherche en tant que membre de l'équipe de projet

- Maintenir à jour les connaissances sur les outils informatiques, fournir une formation technique et aider à développer la base de connaissances interne, notamment dans un environnement Linux

- Présenter la recherche à des conférences choisies

Exemples de tâches du scientifique des données :

- Développement de systèmes de production en ingénierie des données ainsi qu’en apprentissage machine pour des projets de science des données full stack

- Utiliser des méthodologies NLP pour travailler avec les données médicales électroniques, les données des médias sociaux et d'autres données non structures

- Optimiser les procédures de gestion et d'accès aux grandes bases de données (ex. réclamations d'assurance, dossiers de santé électroniques, transactions financières)

- Création de portails d'analyse interactifs et de visualisations de données (par exemple, en utilisant R/Shiny, Python/Flask, D3)

- Construire et maintenir des outils de calcul de haute performance (HPC).

- Développement et révision de codes en R, Python et autres langages

- Mise en place de procédures optimisées pour les tâches répétitives ou intensives en calcul (C, C++, Cuda-C)

Qualifications requises

- Solides références et expérience dans la gestion de bases de données et de la visualisation de données

- Expérience de travail significative dans un environnement Linux requise

- Expérience antérieure en statistique/économétrie ou bio-statistique

- Idéalement, être titulaire d'un doctorat en sciences informatiques, en mathématiques, en statistique, en économie ou d'un autre diplôme scientifique pertinent et posséder une expérience pertinente. Les candidats ayant au moins un an d'expérience dans le domaine peuvent également être considérés.

- Excellentes aptitudes de communication écrite et verbale

- Expérience de projet avec R et/ou Python

- Familiarité avec l'informatique en ligne/info nuagique et le stockage (AWS)

- Expérience de travail démontrée au sein d'équipes de projet et de collaboration avec d'autres personnes

­
Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities.
Please view Equal Employment Opportunity Posters provided by OFCCP here.
The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor's legal duty to furnish information. 41 CFR 60-1.35(c)",3.8,Analysis Group,"Boston, MA","Boston, MA",1001 to 5000 employees,1981.0,Company - Private,Consulting,Business Services,$100 to $500 million (USD),,3
3,Data Scientist,137-171,"JOB DESCRIPTION:

Do you have a passion for Data and Machine Learning? Do you dream of working with customers on their most forward-looking AI initiatives? Does the challenge of developing modern machine learning solutions to solve real-world manufacturing problems exciting to you?

We develop software for monitoring semiconductor manufacturing process and are looking to leverage the latest technologies to address our customer's needs. You will be part of a team that investigates and builds solutions based all the data available in factories, ranging from time series data, to post manufacturing data, to production logs. You will be working side by side with application developers and customers on real world problems with actual manufacturing data.

JOB FUNCTION:

Basic and applied research in statistical machine learning, deep learning, and data science as well as signal and information processing to advance the state of the art in time series analysis of semiconductor manufacturing data.

Responsibilities:
Perform data analysis, data pre-processing, and feature engineering in support of advanced machine learning algorithm development. Incorporate physical and operational insights/constraints into statistical models to achieve a high degree of robustness.
Prototype algorithms for proof of concept, validation, and software implementation.
Support performance evaluations and the transition of algorithms into existing fault detection and classification systems.
Convey the results of scientific research to sponsors and the scientific community through briefings, conferences and peer-reviewed publications.
Other related functions as assigned.

REQUIRED QUALIFICATIONS:
Bachelor's degree in computer science or chemical engineering or related technical field.
Demonstrated ability in machine learning/artificial intelligence (ML/AI) development and/or scientific modelling and data analysis.
Demonstrated ability with python/MATLAB or similar abstract language. Experience with both traditional ML and modern deep learning approaches.
Experience with agile development practices and Git version control.
Experience with one or more of the DNN frameworks like TensorFlow, PyTorch, Chainer.
Experience with SQL, Graph stores, or NoSQL stores.
Applicant must have a dynamic skill set, be willing to work with new technologies, be highly organized and capable of planning and coordinating multiple tasks. The position will require attention to detail, effective problem solving skills and excellent judgment. Ability to work independently with sensitive and confidential information, maintain a professional demeanor, work as a team member without daily supervision.

COMPENSATION & BENEFITS:

Compensation will be commensurate with experience including a competitive base salary, bonus opportunity, competitive benefits package, and relocation assistance.

INFICON, is committed to ensuring that our online application process provides an equal opportunity to all job seekers that apply without regard to race, religion, ethnicity, national origin, citizenship, gender, age, protected veteran status, disability status, genetic information, sexual orientation, or any other protected characteristic. A notice describing Federal equal employment opportunity laws is available here and here to reaffirm this commitment.

PI120660357",3.5,INFICON,"Newton, MA","Bad Ragaz, Switzerland",501 to 1000 employees,2000.0,Company - Public,Electrical & Electronic Manufacturing,Manufacturing,$100 to $500 million (USD),"MKS Instruments, Pfeiffer Vacuum, Agilent Technologies",3
4,Data Scientist,137-171,"Data Scientist
Affinity Solutions / Marketing Cloud seeks smart, curious, technically savvy candidates to join our cutting-edge data science team. We hire the best and brightest and give them the opportunity to work on industry-leading technologies.
The data sciences team at AFS/Marketing Cloud build models, machine learning algorithms that power all our ad-tech/mar-tech products at scale, develop methodology and tools to precisely and effectively measure market campaign effects, and research in-house and public data sources for consumer spend behavior insights. In this role, you'll have the opportunity to come up with new ideas and solutions that will lead to improvement of our ability to target the right audience, derive insights and provide better measurement methodology for marketing campaigns. You'll access our core data asset and machine learning infrastructure to power your ideas.
Duties and Responsibilities
· Support all clients model building needs, including maintaining and improving current modeling/scoring methodology and processes,
· Provide innovative solutions to customized modeling/scoring/targeting with appropriate ML/statistical tools,
· Provide analytical/statistical support such as marketing test design, projection, campaign measurement, market insights to clients and stakeholders.
· Mine large consumer datasets in the cloud environment to support ad hoc business and statistical analysis,
· Develop and Improve automation capabilities to enable customized delivery of the analytical products to clients,
· Communicate the methodologies and the results to the management, clients and none technical stakeholders.
Basic Qualifications
· Advanced degree in Statistics/Mathematics/Computer Science/Economics or other fields that requires advanced training in data analytics.
· Being able to apply basic statistical/ML concepts and reasoning to address and solve business problems such as targeting, test design, KPI projection and performance measurement.
· Entrepreneurial, highly self-motivated, collaborative, keen attention to detail, willingness and capable learn quickly, and ability to effectively prioritize and execute tasks in a high pressure environment.
· Being flexible to accept different task assignments and able to work on a tight time schedule.
· Excellent command of one or more programming languages; preferably Python, SAS or R
· Familiar with one of the database technologies such as PostgreSQL, MySQL, can write basic SQL queries
· Great communication skills (verbal, written and presentation)
Preferred Qualifications
· Experience or exposure to large consumer and/or demographic data sets.
· Familiarity with data manipulation and cleaning routines and techniques.",2.9,Affinity Solutions,"New York, NY","New York, NY",51 to 200 employees,1998.0,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,"Commerce Signals, Cardlytics, Yodlee",3
5,Data Scientist,137-171,"About Us:

Headquartered in beautiful Santa Barbara, HG Insights is the global leader in technology intelligence. HG Insights uses advanced data science methodologies to help the world's largest technology firms and the fastest growing companies accelerate their sales, marketing, and strategy efforts.

We offer a casual yet professional environment. Get your sweat on at one of our fitness classes or go for a run along the beach which is two blocks away. You can find employees riding bikes to lunch in the funk zone or hanging out in one of our collaboration spaces. We are passionate about our jobs with a get-it-done attitude, yet we don't take ourselves too seriously.

What You'll Do:

We are looking for a data scientist with software development or data engineering background to join our research team which reports directly to the CTO. We are a rapidly growing company with small focused engineering teams that deliver innovative features to a fast growing market. We build big-data systems utilizing cutting edge technologies and solutions that allow for our engineers to continuously learn and develop while shipping amazing products.

Qualities/ Experience:
Self-learner, hacker, technology advocate who can work on anything
Amazing engineering skills, you're on your way to being the one of the best engineers you know
You can architect, design, code, test, and mentor others
Experience working with interesting and successful projects
Thrive in a fast growing environment
Excellent written and spoken English communication
An interest in Machine Learning and Natural Language Processing
What You'll Be Responsible For:
Build solutions for text classification, entity linking, and entity extraction and other related projects
Scaling machine learning and NLP projects to run against large datasets in virtualized environments.
You will collaborate with Product Development Teams to build the most effective solutions
You will develop features in our databases, backend apps, front end UI, and Data as a Service (DAAS) product
You will help architect and design large scale enterprise big-data systems
You will work on ideas from different team members as well as your own
Fix bugs rapidly
Attend daily stand-up meetings, planning sessions, encourage others, and collaborate at a rapid pace
What You'll Need:
BS, MS, or Ph.D. in Computer Science or related technical discipline
Experience Natural Language Processing, preferably in a commercial setting.
Experience building Logistic Regression Models
Proficient in Python and Jupyter as well as related data science libraries (such as Scikit-learn, NLTK, SpaCy, Tensorflow)
Proficient in Java or Scala (3+ years experience recommended)
Experience with MySQL, ElasticSearch, ESB, Hadoop, Spark, or other related data processing/database technologies
Experience with Amazon Web Services (EC2, S3, RDS, EMR, ELB, etc.)
Experience with web services using REST in Java
Actual coding experience in large distributed environments with multiple endpoints and complex interactions
Comfortable in an agile development environment
Understanding and have real world experience using design patterns
Comfortable programming on a Mac with Intellij and other tools
HG Insights Company is an Equal Opportunity Employer

Please note that HG Insights does not accept unsolicited resumes from recruiters or employment agencies. In the event of a recruiter or agency submitting a resume or candidate without a signed agreement being in place, we explicitly reserve the right to pursue and hire such candidates without any financial obligation to the recruiter or agency. Any unsolicited resumes, including those submitted directly to hiring managers, are deemed to be the property of HG Insights",4.2,HG Insights,"Santa Barbara, CA","Santa Barbara, CA",51 to 200 employees,2010.0,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,,3
6,Data Scientist,137-171,"Posting Title
Data Scientist / Machine Learning Expert

04-Feb-2020

Job ID
288341BR

Job Description
ONE Global Discovery Chemistry Community working across 7 disease areas at the Novartis Institutes for BioMedical Research (NIBR) is seeking a highly talented and motivated Data Scientist to join our Global Discovery Chemistry Department in Cambridge, MA. The successful candidate will join an energizing and collaborative research organization, working alongside colleagues who are committed to improving human health through the discovery of transformative medicines.

We are seeking a unique data scientist with the skills, experience and passion to extract new knowledge and disruptive insights from the large and rich body of data collected by one of the world’s leading pharmaceutical companies. You will be a member of our global Computer-Aided Drug Discovery (CADD) group, an interdisciplinary team of expert molecular modelers, cheminformaticians, and data scientists. Teamed up with domain experts from biology, chemistry and translational medicine, this is a unique opportunity to develop and apply cutting-edge machine learning technologies to uncover insights to real-world drug discovery problems and innovate paths to new medicines.

Your responsibilities include:
•Develop and implement methods for extracting patterns and correlations from both internal and external data sources using machine learning toolkits
•Develop workflows for conducting comparative analysis among Novartis’ diverse data sources as well as generalizing approaches developed in-house or externally.
•Enable open-source solutions for internal use and implement cutting-edge published scientific methods.
•Develop customized machine learning solutions including data querying and knowledge extraction.
•Interact and be part of interdisciplinary project teams to drive effective decision-making by mining and developing predictive models
•Develop new skills in the area of cheminformatics and drug discovery and leverage those to accelerate development of new machine learning algorithms
•Keep ahead of scientific literature and interact with internal and external scientists to integrate novel data science technologies

Minimum requirements
Education:

Advanced degree (M.Sc. or higher) in data science and machine learning, statistics, computer sciences, cheminformatics, mathematics, computational chemistry, computational biology, bioinformatics, or related field.

Minimum experience & skills:

•In-depth experience with modern and classical machine learning methods
•Strong statistical foundation with broad knowledge of supervised and unsupervised techniques
•Programming experience (preferred Python, R, C++) preferably in Linux and high-performance computing environments
•Good listener - strong, concise, and consistent written and oral communication
•Talent for communicating stories through data visualizations
•Proven ability to collaborate with others
•A passion for tackling challenging problems and developing creative solutions
•A drive for self-development with a focus on scientific know-how

Additional qualifications that will help in the role:
•Demonstrated impact using machine learning libraries, such as scikit-learn, PyTorch or similar in a cheminformatics context
•Hands on experience with data analysis software such as Spotfire, R-shiny or similar
•Working experience with open-source cheminformatics toolkits such as RDKit
•Working experience with source-code management systems such as Git/github/bitbucket
•Familiar with the foundational concepts in molecular biology, pharmacology or medicine. Working knowledge of medicinal chemistry and drug discovery is a plus

Why consider Novartis?

750 million. That’s how many lives our products touch. And while we’re proud of that fact, in this world of digital and technological transformation, we must also ask ourselves this: how can we continue to improve and extend even more people’s lives?

We believe the answers are found when curious, courageous and collaborative people like you are brought together in an inspiring environment. Where you’re given opportunities to explore the power of digital and data. Where you’re empowered to risk failure by taking smart risks, and where you’re surrounded by people who share your determination to tackle the world’s toughest medical challenges.

We are Novartis. Join us and help us reimagine medicine.

Job Type
Full Time

Country
USA

Work Location
Cambridge, MA

Functional Area
Research & Development

Division
NIBR

Business Unit
Global Discovery Chemistry

Employment Type
Regular

Company/Legal Entity
NIBRI

EEO Statement
The Novartis Group of Companies are Equal Opportunity Employers and take pride in maintaining a diverse environment. We do not discriminate in recruitment, hiring, training, promotion or any other employment practices for reasons of race, color, religion, gender, national origin, age, sexual orientation, marital or veteran status, disability, or any other legally protected status.

Shift Work
No",3.9,Novartis,"Cambridge, MA","Basel, Switzerland",10000+ employees,1996.0,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),,3
7,Data Scientist,137-171,"Introduction

Have you always wanted to run experiments on a global fleet of consumer robots? iRobot is looking for a data scientist to help manage a/b tests related to robot software, track performance KPIs, and share results with software teams. A strong candidate has experience in experimental design, hypothesis testing, and statistics, in addition to strong SQL and Python skills.

What You Will Do:
Guide software and product management teams in designing rigorous experiments to test the impact of new software versions.
Dashboarding to monitor results live from the fleet.
Test hypotheses about software performance using appropriate statistical methods.
Develop metrics to track software performance.
Uphold scientific best practices in experimental design and cohort selection.
Contribute to a management system for cohort selection.
To Be Successful You Will Have:
At least 1 year of relevant job, internship, or co-op experience. M.S. in computer science, statistics, mathematics, physics, chemistry, biology, or social sciences is a plus.
Very detail-oriented and eager to get your hands dirty in the data.
Proficient in Python, SQL, and data visualization, with experience using pandas, numpy, sklearn, scipy, matplotlib, or plotly.
Experienced in designing experiments, making and testing hypotheses, and identifying the appropriate metrics to answer a question.
Savvy in statistical methods and able to select the right test for each situation.
Can balance business considerations with the need for scientific rigor.
Self-motivated and comfortable working in a fast-paced, delivery-focused environment.
Skilled communicator who can make the complicated seem simple.
Passionate about using data to drive decision-making!",3.5,iRobot,"Bedford, MA","Bedford, MA",1001 to 5000 employees,1990.0,Company - Public,Consumer Electronics & Appliances Stores,Retail,$1 to $2 billion (USD),,3
8,Data Scientist,137-171,"Intuit is seeking a Staff Data Scientist to cover Intuits Consumer Group (TurboTax, Mint, Turbo). We have an exciting opportunity to help shape how we use data to generate hypotheses, surface insights, and build models in order to personalize customer experiences and provide awesome outcomes for the business and our customers. This role will partner closely with data engineering, data analytics, data science, marketing managers, and product management.",4.4,Intuit - Data,"San Diego, CA","Mountain View, CA",5001 to 10000 employees,1983.0,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),"Square, PayPal, H&R Block",3
9,Data Scientist,137-171,"Ready to write the best chapter of your career? XSELL Technologies is an artificial intelligence company focused on increasing sales. Our cloud-based machine learning engine uses predictive analytics and natural language processing to equip sales professionals with the best real-time responses, driving improved conversion rates and customer experiences. We pride ourselves on our high performing, collaborative culture. We are passionate about our product, our clients, and our industry leading results.

XSELL is currently seeking a Data Scientist to serve as a key member of our Data Science team. This role will work within the SAFe Agile framework of continuous delivery, work with other Data Scientists, and be a critical resource for our growing Data Science staff.

Job Description
Designing, implementing and improving XSELL’s proprietary softwares, real time messaging recommendation systems, HiPerCoBot and QABOt using various mathematical, Natural Language Processing (NLP) algorithms and machine learning models.
Developing new systems using Python NLP (lemmatization, stemming, named entity recognition) and updating the existing systems by adding new features to enhance the customers experience.
Interacting with stakeholders to identify the requirements and define new processes.
Closely work with the team to define the architecture of the Microservice environment and deploy systems using RESTful API’s.
Planning, development, and analysis of dialogue prediction/sentiment models, causal models of customer/agent behavior.
Improving the accuracy of the in house XSELL Recommendation System software suite by evaluating and monitoring annotations manually labelled by Ontology team.
Analyzing and researching the current market trends for possible AI opportunities/improvements.
Qualifications
MS/PhD in a quantitative discipline (e.g. Machine Learning, Data Science, Computer Science, Mathematics, Statistics, or a related field).
3+ years full time employment or postdoctoral experience building and validating predictive models on structured or unstructured data.
Proficiency in Python with knowledge of basic libraries for data manipulation, machine learning, natural language processing and text mining.
Experience creating and using advanced machine learning algorithms (regression, neural networks, etc.)
Understanding of deep learning algorithms and experience with related libraries such as TensorFlow, PyTorch.
Nice to Have
Experience in SQL.
Understanding of object oriented design.
Ability to craft new concepts and stay current with academic research
Experience with graph databases and graph designs.
Experience in designing/developing production level machine learning architectures (using Flask or Redis)
We provide competitive compensation, generous benefits, and a professional atmosphere. XSELL fosters an entrepreneurial, results driven work environment where you will have the opportunity to be part of a collaborative, inclusive team and be able to grow and develop your professional career.

XSELL Technologies is an Equal Employment Opportunity Employer and all employment decisions shall be made without regard to age, race, creed, color, religion, sex, national origin, ancestry, disability status, veteran status, sexual orientation, gender identity or expression, genetic information, marital status, citizenship status or any other basis as protected by federal, state, or local law.

Location: Chicago, IL

Role: Full-Time / Salaried",3.6,XSELL Technologies,"Chicago, IL","Chicago, IL",51 to 200 employees,2014.0,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,,3
